seriesName,series_code,units,first_year,last_year,n_years,last_value,has_2024
Who has the power to remove the Head/ Commissioners?,trPowerToRemoveHead,,2018,2022,4,,False
At least once a week but not every day,HHU4212fw_HHTotalIndividual,%,2013,2024,4,19.825891330194967,True
At place of education,HHU4212e_HHTotalIndividual,%,2013,2024,4,4.882843350224293,True
Packet Latency for Mobile Broadband,i146mwl,milliseconds,2021,2024,4,49.8,True
"Price regulation of international retail roaming services (voice, SMS)",tpTelecom_Price_Retail_Mobile_InternationalRoaming,,2012,2022,4,,False
Price regulation of interconnection: fixed termination services,tpTelecom_Price_Wholesale_InterconFixedTermination,,2012,2022,4,,False
Price regulation of retail Internet access and data services,tpTelecom_Price_Retial_Mobile_InternetAndData,,2012,2022,4,,False
Price regulation of interconnection: fixed origination services,tpTelecom_Price_Wholesale_InterconFixedOrigination,,2012,2022,4,,False
Price regulation of access to international gateways,tpTelecom_Price_Wholesale_InternationalGateways,,2012,2022,4,,False
Price regulation of interconnection: mobile termination services,tpTelecom_Price_Wholesale_InterconMobileTerminatio,,2012,2022,4,,False
Price regulation of interconnection: mobile origination services,tpTelecom_Price_Wholesale_InterconMobileOriginatio,,2012,2022,4,,False
Price regulation of access to Internet exchange points (IXPs),tpTelecom_Price_Wholesale_IXP,,2012,2022,4,,False
Conditions for porting over mobile networks,trMobileConditionsForPortingRegulated,,2018,2022,4,,False
Other requirements to obtain a licence,trAreThereOtherLicensingCriteria,,2018,2022,4,,False
"Overlapping mandates in spectrum management, allocation and assignment",trICTspectrumManagementCoincide,,2018,2022,4,,False
At work,HHU4212w_HHTotalIndividual,%,2013,2024,4,21.165685918808308,True
By broadband,HHA4213b_HHTotalHousehold,%,2013,2023,4,41.9493985365079,False
